id,contract_epsilon,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,raw_reference,safe_reference,positive_r,coefficient_denominator,stable_denominator,tone_reference
epsilon_0p5_dark,0.5,0.5,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.7739937901496887,1.0,1.0,1.0,7.718801498413086e-06,7.739938155282289e-06,1.0
epsilon_0p5_black,0.5,0.5,0.0,0.0,0.5,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.00018996570724993944,0.0,0.00018996578808332045,0.00018996575090568513,0.02500450777091282,0.025004501659654163,0.9499999966803979
epsilon_0p5_front,0.5,0.5,0.5,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.866025447845459,0.8660254037844386,0.8660254591096528,0.866025447845459,0.2500000436336283,0.2500000436336283,0.8660254037844386
epsilon_0p5_grazing,0.5,0.5,0.5,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.017321379855275154,0.01732137386291933,0.01732138195748144,0.017321379855275154,0.2499999424602239,0.2499999424602239,0.017321373841070343
epsilon_0p5_reverse,0.5,0.5,0.0,0.0,0.5,0.5,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.5000001192092896,0.5,0.5000001192092896,0.5000001192092896,0.25,0.25,0.5
epsilon_0p1_dark,0.1,0.1,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.15479876101016998,1.0,1.0,1.0,1.5497207641601562e-06,1.547987654123271e-06,1.0
epsilon_0p1_black,0.1,0.9,0.0,0.0,0.9,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.008831403218209743,0.0,0.008831395300163462,0.008831406012177467,0.0010089008577682812,0.0010089005427355525,0.9899999969518937
epsilon_0p1_front,0.1,0.5,0.9,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.4358901083469391,0.4358898943540673,0.4358900608307849,0.4358901083469391,0.2499999923574857,0.2499999923574857,0.43588994358133987
epsilon_0p1_grazing,0.1,0.5,0.9,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.04357375577092171,0.04357373574100936,0.043573750095722466,0.04357375577092171,0.24999994558974864,0.24999994558974864,0.04357373022350084
epsilon_0p1_reverse,0.1,0.5,0.0,0.0,0.9,0.1,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.10000006854534149,0.1,0.10000004440546911,0.10000006854534149,0.24999995231628436,0.24999995231628436,0.10000000149011612
